Name,unpol.EIC.empty10x100_cut
Comment,Bins for EIC set
Reference,AV
Process type,SIDIS
Number of points,6889
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
1570,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1571,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.55,0.5,0.6,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1582,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.65,0.6,0.7,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1583,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.65,0.6,0.7,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1584,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.65,0.6,0.7,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1585,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.65,0.6,0.7,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1596,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.75,0.7,0.8,0.025,0.0,0.05,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1597,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.75,0.7,0.8,0.075,0.05,0.1,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1598,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.75,0.7,0.8,0.15,0.1,0.2,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
1599,1 - 1 - 2001,4000.0,2.095910303424266,1.7782800679308082,2.3713730200033902,0.00204839,0.00158489,0.00251189,0.75,0.7,0.8,0.25,0.2,0.3,100.0,1.0,1.0,True,0.01,0.95,10.0,8000.0,0.938,0.139
